[RUN] AUH_HepG2_20260706-193105
[DIR] logs=results/logs model=results/model metrics=results/metrics
[CFG] results/logs/AUH_HepG2_20260706-193105_config.json
AUH_HepG2 	 Test  Epoch: 19     avg.loss: 0.6807 Acc: 0.79%, AUC: 0.8478 (0.8673), PRC: 0.7368, MCC: 0.5246, 16
AUH_HepG2 	 Train Epoch: 20     avg.loss: 0.4644 Acc: 0.85%, AUC: 0.9494, PRC: 0.9056, MCC: 0.7029, lr: 0.000800
AUH_HepG2 	 Test  Epoch: 20     avg.loss: 0.9822 Acc: 0.78%, AUC: 0.8516 (0.8673), PRC: 0.7525, MCC: 0.4835, 16
AUH_HepG2 	 Train Epoch: 21     avg.loss: 0.4466 Acc: 0.86%, AUC: 0.9540, PRC: 0.9140, MCC: 0.7211, lr: 0.000840
AUH_HepG2 	 Test  Epoch: 21     avg.loss: 0.6708 Acc: 0.75%, AUC: 0.8701 (0.8701), PRC: 0.7783, MCC: 0.5268, 21
AUH_HepG2 	 Train Epoch: 22     avg.loss: 0.4217 Acc: 0.87%, AUC: 0.9608, PRC: 0.9274, MCC: 0.7341, lr: 0.000880
AUH_HepG2 	 Test  Epoch: 22     avg.loss: 0.7944 Acc: 0.80%, AUC: 0.8575 (0.8701), PRC: 0.7744, MCC: 0.5312, 21
AUH_HepG2 	 Train Epoch: 23     avg.loss: 0.4499 Acc: 0.86%, AUC: 0.9607, PRC: 0.9255, MCC: 0.7251, lr: 0.000920
AUH_HepG2 	 Test  Epoch: 23     avg.loss: 0.9194 Acc: 0.78%, AUC: 0.8612 (0.8701), PRC: 0.7623, MCC: 0.4897, 21
AUH_HepG2 	 Train Epoch: 24     avg.loss: 0.4081 Acc: 0.88%, AUC: 0.9663, PRC: 0.9365, MCC: 0.7484, lr: 0.000960
AUH_HepG2 	 Test  Epoch: 24     avg.loss: 1.6215 Acc: 0.75%, AUC: 0.8472 (0.8701), PRC: 0.7410, MCC: 0.4065, 21
AUH_HepG2 	 Train Epoch: 25     avg.loss: 0.4126 Acc: 0.88%, AUC: 0.9670, PRC: 0.9389, MCC: 0.7456, lr: 0.001000
AUH_HepG2 	 Test  Epoch: 25     avg.loss: 1.2060 Acc: 0.78%, AUC: 0.8652 (0.8701), PRC: 0.7701, MCC: 0.4799, 21
AUH_HepG2 	 Train Epoch: 26     avg.loss: 0.3909 Acc: 0.89%, AUC: 0.9742, PRC: 0.9500, MCC: 0.7673, lr: 0.001040
AUH_HepG2 	 Test  Epoch: 26     avg.loss: 0.8163 Acc: 0.80%, AUC: 0.8577 (0.8701), PRC: 0.7564, MCC: 0.5404, 21
AUH_HepG2 	 Train Epoch: 27     avg.loss: 0.3734 Acc: 0.89%, AUC: 0.9749, PRC: 0.9535, MCC: 0.7763, lr: 0.001080
AUH_HepG2 	 Test  Epoch: 27     avg.loss: 1.9440 Acc: 0.74%, AUC: 0.8759 (0.8759), PRC: 0.7834, MCC: 0.3814, 27
AUH_HepG2 	 Train Epoch: 28     avg.loss: 0.3689 Acc: 0.90%, AUC: 0.9753, PRC: 0.9491, MCC: 0.7863, lr: 0.001120
AUH_HepG2 	 Test  Epoch: 28     avg.loss: 1.4677 Acc: 0.77%, AUC: 0.8656 (0.8759), PRC: 0.7734, MCC: 0.4594, 27
AUH_HepG2 	 Train Epoch: 29     avg.loss: 0.3337 Acc: 0.90%, AUC: nan, PRC: 0.9582, MCC: 0.8020, lr: 0.001160
AUH_HepG2 	 Test  Epoch: 29     avg.loss: 1.2923 Acc: 0.79%, AUC: 0.8623 (0.8759), PRC: 0.7610, MCC: 0.4931, 27
AUH_HepG2 	 Train Epoch: 30     avg.loss: 0.3366 Acc: 0.90%, AUC: 0.9823, PRC: 0.9646, MCC: 0.8017, lr: 0.001200
AUH_HepG2 	 Test  Epoch: 30     avg.loss: 0.8056 Acc: 0.80%, AUC: 0.8685 (0.8759), PRC: 0.7749, MCC: 0.5388, 27
AUH_HepG2 	 Train Epoch: 31     avg.loss: 0.3184 Acc: 0.92%, AUC: 0.9857, PRC: 0.9726, MCC: 0.8267, lr: 0.001240
AUH_HepG2 	 Test  Epoch: 31     avg.loss: 1.4477 Acc: 0.79%, AUC: 0.8716 (0.8759), PRC: 0.7779, MCC: 0.4997, 27
AUH_HepG2 	 Train Epoch: 32     avg.loss: 0.3255 Acc: 0.91%, AUC: 0.9829, PRC: 0.9658, MCC: 0.8135, lr: 0.001280
AUH_HepG2 	 Test  Epoch: 32     avg.loss: 0.8572 Acc: 0.80%, AUC: 0.8568 (0.8759), PRC: 0.7539, MCC: 0.5481, 27
AUH_HepG2 	 Train Epoch: 33     avg.loss: 0.2885 Acc: 0.92%, AUC: nan, PRC: 0.9751, MCC: 0.8360, lr: 0.001320
AUH_HepG2 	 Test  Epoch: 33     avg.loss: 0.8864 Acc: 0.81%, AUC: 0.8759 (0.8759), PRC: 0.7875, MCC: 0.5610, 33
AUH_HepG2 	 Train Epoch: 34     avg.loss: 0.2918 Acc: 0.92%, AUC: 0.9873, PRC: 0.9754, MCC: 0.8398, lr: 0.001360
AUH_HepG2 	 Test  Epoch: 34     avg.loss: 0.9378 Acc: 0.80%, AUC: 0.8598 (0.8759), PRC: 0.7606, MCC: 0.5315, 33
AUH_HepG2 	 Train Epoch: 35     avg.loss: 0.2805 Acc: 0.93%, AUC: 0.9889, PRC: 0.9784, MCC: 0.8424, lr: 0.001400
AUH_HepG2 	 Test  Epoch: 35     avg.loss: 1.1324 Acc: 0.81%, AUC: 0.8707 (0.8759), PRC: 0.7797, MCC: 0.5426, 33
AUH_HepG2 	 Train Epoch: 36     avg.loss: 0.2740 Acc: 0.93%, AUC: 0.9892, PRC: 0.9799, MCC: 0.8509, lr: 0.001440
AUH_HepG2 	 Test  Epoch: 36     avg.loss: 1.3851 Acc: 0.79%, AUC: 0.8577 (0.8759), PRC: 0.7615, MCC: 0.4969, 33
AUH_HepG2 	 Train Epoch: 37     avg.loss: 0.2656 Acc: 0.93%, AUC: 0.9907, PRC: 0.9834, MCC: 0.8607, lr: 0.001480
AUH_HepG2 	 Test  Epoch: 37     avg.loss: 0.8981 Acc: 0.81%, AUC: 0.8736 (0.8759), PRC: 0.7819, MCC: 0.5649, 33
AUH_HepG2 	 Train Epoch: 38     avg.loss: 0.2296 Acc: 0.94%, AUC: 0.9928, PRC: 0.9865, MCC: 0.8720, lr: 0.001520
AUH_HepG2 	 Test  Epoch: 38     avg.loss: 1.2962 Acc: 0.80%, AUC: 0.8685 (0.8759), PRC: 0.7764, MCC: 0.5323, 33
AUH_HepG2 	 Train Epoch: 39     avg.loss: 0.2278 Acc: 0.94%, AUC: 0.9925, PRC: 0.9852, MCC: 0.8740, lr: 0.001560
AUH_HepG2 	 Test  Epoch: 39     avg.loss: 1.0422 Acc: 0.81%, AUC: 0.8692 (0.8759), PRC: 0.7865, MCC: 0.5617, 33
AUH_HepG2 	 Train Epoch: 40     avg.loss: 0.2197 Acc: 0.94%, AUC: 0.9942, PRC: 0.9883, MCC: 0.8764, lr: 0.001600
AUH_HepG2 	 Test  Epoch: 40     avg.loss: 1.2280 Acc: 0.82%, AUC: 0.8786 (0.8786), PRC: 0.8015, MCC: 0.5729, 40
AUH_HepG2 	 Train Epoch: 41     avg.loss: 0.2440 Acc: 0.94%, AUC: 0.9925, PRC: 0.9851, MCC: 0.8706, lr: 0.001600
