[RUN] AUH_HepG2_20260129-131924
[DIR] logs=results/logs model=results/model metrics=results/metrics
[CFG] results/logs/AUH_HepG2_20260129-131924_config.json
AUH_HepG2 	 Train Epoch: 1     avg.loss: 0.9096 Acc: 0.67%, AUC: 0.7663, PRC: 0.6493, MCC: 0.3420, lr: 0.000040
AUH_HepG2 	 Test  Epoch: 1     avg.loss: 0.7133 Acc: 0.70%, AUC: 0.8308 (0.8308), PRC: 0.7150, MCC: 0.4506, 1
AUH_HepG2 	 Train Epoch: 2     avg.loss: 0.6674 Acc: 0.76%, AUC: nan, PRC: 0.7550, MCC: 0.4990, lr: 0.000080
AUH_HepG2 	 Test  Epoch: 2     avg.loss: 0.6722 Acc: 0.77%, AUC: 0.8379 (0.8379), PRC: 0.7323, MCC: 0.4799, 2
AUH_HepG2 	 Train Epoch: 3     avg.loss: 0.6430 Acc: 0.78%, AUC: 0.8605, PRC: 0.7706, MCC: 0.5298, lr: 0.000120
AUH_HepG2 	 Test  Epoch: 3     avg.loss: 0.6774 Acc: 0.78%, AUC: 0.8422 (0.8422), PRC: 0.7420, MCC: 0.4842, 3
AUH_HepG2 	 Train Epoch: 4     avg.loss: 0.6250 Acc: 0.79%, AUC: 0.8692, PRC: 0.7857, MCC: 0.5545, lr: 0.000160
AUH_HepG2 	 Test  Epoch: 4     avg.loss: 0.7501 Acc: 0.78%, AUC: 0.8518 (0.8518), PRC: 0.7529, MCC: 0.4809, 4
AUH_HepG2 	 Train Epoch: 5     avg.loss: 0.6096 Acc: 0.79%, AUC: 0.8774, PRC: 0.7998, MCC: 0.5657, lr: 0.000200
AUH_HepG2 	 Test  Epoch: 5     avg.loss: 0.6427 Acc: 0.74%, AUC: 0.8527 (0.8527), PRC: 0.7593, MCC: 0.4973, 5
AUH_HepG2 	 Train Epoch: 6     avg.loss: 0.6059 Acc: 0.79%, AUC: 0.8851, PRC: 0.8099, MCC: 0.5686, lr: 0.000240
AUH_HepG2 	 Test  Epoch: 6     avg.loss: 0.6543 Acc: 0.80%, AUC: 0.8578 (0.8578), PRC: 0.7665, MCC: 0.5406, 6
AUH_HepG2 	 Train Epoch: 7     avg.loss: 0.6095 Acc: 0.80%, AUC: nan, PRC: 0.8126, MCC: 0.5796, lr: 0.000280
AUH_HepG2 	 Test  Epoch: 7     avg.loss: 0.8367 Acc: 0.77%, AUC: 0.8534 (0.8578), PRC: 0.7604, MCC: 0.4422, 6
AUH_HepG2 	 Train Epoch: 8     avg.loss: 0.5812 Acc: 0.80%, AUC: nan, PRC: 0.8338, MCC: 0.5953, lr: 0.000320
AUH_HepG2 	 Test  Epoch: 8     avg.loss: 0.6655 Acc: 0.80%, AUC: 0.8630 (0.8630), PRC: 0.7687, MCC: 0.5321, 8
AUH_HepG2 	 Train Epoch: 9     avg.loss: 0.5779 Acc: 0.81%, AUC: 0.8981, PRC: 0.8256, MCC: 0.6015, lr: 0.000360
AUH_HepG2 	 Test  Epoch: 9     avg.loss: 0.6197 Acc: 0.78%, AUC: 0.8612 (0.8630), PRC: 0.7736, MCC: 0.5208, 8
AUH_HepG2 	 Train Epoch: 10     avg.loss: 0.5680 Acc: 0.81%, AUC: nan, PRC: 0.8416, MCC: 0.6167, lr: 0.000400
AUH_HepG2 	 Test  Epoch: 10     avg.loss: 0.6018 Acc: 0.78%, AUC: 0.8677 (0.8677), PRC: 0.7810, MCC: 0.5412, 10
AUH_HepG2 	 Train Epoch: 11     avg.loss: 0.5673 Acc: 0.81%, AUC: 0.9042, PRC: 0.8420, MCC: 0.6167, lr: 0.000440
AUH_HepG2 	 Test  Epoch: 11     avg.loss: 0.6243 Acc: 0.80%, AUC: 0.8630 (0.8677), PRC: 0.7696, MCC: 0.5489, 10
AUH_HepG2 	 Train Epoch: 12     avg.loss: 0.5508 Acc: 0.82%, AUC: 0.9165, PRC: 0.8562, MCC: 0.6343, lr: 0.000480
AUH_HepG2 	 Test  Epoch: 12     avg.loss: 0.6540 Acc: 0.80%, AUC: 0.8603 (0.8677), PRC: 0.7630, MCC: 0.5418, 10
AUH_HepG2 	 Train Epoch: 13     avg.loss: 0.5558 Acc: 0.82%, AUC: 0.9203, PRC: 0.8567, MCC: 0.6318, lr: 0.000520
AUH_HepG2 	 Test  Epoch: 13     avg.loss: 0.6264 Acc: 0.76%, AUC: 0.8585 (0.8677), PRC: 0.7623, MCC: 0.5203, 10
AUH_HepG2 	 Train Epoch: 14     avg.loss: 0.5550 Acc: 0.82%, AUC: 0.9213, PRC: 0.8613, MCC: 0.6262, lr: 0.000560
AUH_HepG2 	 Test  Epoch: 14     avg.loss: 0.6744 Acc: 0.77%, AUC: 0.8349 (0.8677), PRC: 0.7366, MCC: 0.4810, 10
AUH_HepG2 	 Train Epoch: 15     avg.loss: 0.5327 Acc: 0.82%, AUC: 0.9279, PRC: 0.8702, MCC: 0.6415, lr: 0.000600
AUH_HepG2 	 Test  Epoch: 15     avg.loss: 1.0169 Acc: 0.75%, AUC: 0.8496 (0.8677), PRC: 0.7490, MCC: 0.4094, 10
AUH_HepG2 	 Train Epoch: 16     avg.loss: 0.5373 Acc: 0.82%, AUC: 0.9291, PRC: 0.8756, MCC: 0.6416, lr: 0.000640
AUH_HepG2 	 Test  Epoch: 16     avg.loss: 0.6256 Acc: 0.81%, AUC: 0.8670 (0.8677), PRC: 0.7726, MCC: 0.5602, 10
AUH_HepG2 	 Train Epoch: 17     avg.loss: 0.5590 Acc: 0.83%, AUC: 0.9375, PRC: 0.8846, MCC: 0.6659, lr: 0.000680
AUH_HepG2 	 Test  Epoch: 17     avg.loss: 0.6151 Acc: 0.82%, AUC: 0.8736 (0.8736), PRC: 0.7909, MCC: 0.5802, 17
AUH_HepG2 	 Train Epoch: 18     avg.loss: 0.4927 Acc: 0.84%, AUC: 0.9383, PRC: 0.8885, MCC: 0.6735, lr: 0.000720
AUH_HepG2 	 Test  Epoch: 18     avg.loss: 0.6405 Acc: 0.80%, AUC: 0.8605 (0.8736), PRC: 0.7647, MCC: 0.5577, 17
AUH_HepG2 	 Train Epoch: 19     avg.loss: 0.5031 Acc: 0.84%, AUC: 0.9415, PRC: 0.8939, MCC: 0.6828, lr: 0.000760
AUH_HepG2 	 Test  Epoch: 19     avg.loss: 0.6082 Acc: 0.80%, AUC: 0.8673 (0.8736), PRC: 0.7800, MCC: 0.5656, 17
